setting,case_id,target,delta,reference_delta,jbc_same,lgcs_same,jbc_reference_change
peak_parallel_penalty_minus20,C086,4,0.017200421889202566,0.018207567169202576,True,True,0.0
peak_parallel_penalty_minus20,C087,1,0.00773235467741995,0.00773235467741995,True,True,0.0
peak_parallel_penalty_minus20,C087,2,0.01003572920455209,0.01003572920455209,True,True,0.0
peak_parallel_penalty_minus20,C087,3,0.034135125545029954,0.034135125545029954,True,True,0.0
peak_parallel_penalty_minus20,C087,4,0.16370012600105865,0.1737382957610587,True,True,0.0
peak_parallel_penalty_minus20,C088,1,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C088,2,0.002471870631081785,0.002471870631081785,True,True,0.0
peak_parallel_penalty_minus20,C089,1,0.04805480241997817,0.051727701859978215,True,True,0.0
peak_parallel_penalty_minus20,C089,2,0.0494509513645649,0.053123850804565054,True,True,0.0
peak_parallel_penalty_minus20,C089,3,0.04975181404496576,0.05342471348496547,True,True,0.0
peak_parallel_penalty_minus20,C089,4,0.061114861945088084,0.0647877613850878,True,True,0.0
peak_parallel_penalty_minus20,C089,5,0.048054802419978504,0.051727701859978215,True,True,0.0
peak_parallel_penalty_minus20,C089,6,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C090,1,0.028762944972545057,0.028762944972545057,True,True,0.0
peak_parallel_penalty_minus20,C090,2,0.028762944972545057,0.028762944972545057,True,True,0.0
peak_parallel_penalty_minus20,C090,3,0.01924266837543609,0.019126013815435883,True,True,0.0
peak_parallel_penalty_minus20,C090,4,0.03806135335507177,0.03794469879507201,True,True,0.0
peak_parallel_penalty_minus20,C090,5,0.02661502683119421,0.02661502683119421,True,True,0.0
peak_parallel_penalty_minus20,C090,6,0.007577051444311866,0.009003141604312148,True,True,0.0
peak_parallel_penalty_minus20,C091,1,0.008233376543348214,0.008233376543348214,True,True,0.0
peak_parallel_penalty_minus20,C091,2,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C092,1,0.0013369352939431867,0.0013369352939431867,True,True,0.0
peak_parallel_penalty_minus20,C092,2,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C093,1,0.018345191442410202,0.018345191442410202,True,True,0.0
peak_parallel_penalty_minus20,C093,2,0.002667382339966773,0.002667382339966773,True,True,0.0
peak_parallel_penalty_minus20,C094,1,0.0007542281350778612,0.0007542281350780833,True,True,0.0
peak_parallel_penalty_minus20,C094,2,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C095,1,0.010217925892782587,0.010217925892782587,True,True,0.0
peak_parallel_penalty_minus20,C095,2,0.0037720354594708017,0.0037720354594708017,True,True,0.0
peak_parallel_penalty_minus20,C096,1,0.013946675591326896,0.013946675591326896,True,True,0.0
peak_parallel_penalty_minus20,C096,2,0.009186623910786285,0.009186623910786285,True,True,0.0
peak_parallel_penalty_minus20,C097,1,0.025079420678976394,0.025079420678976394,True,True,0.0
peak_parallel_penalty_minus20,C097,2,0.00024021899912618494,0.00024021899912618494,True,True,0.0
peak_parallel_penalty_minus20,C098,1,0.004230745630323662,0.004230745630323662,True,True,0.0
peak_parallel_penalty_minus20,C098,2,0.0012252565131400939,0.0012252565131400939,True,True,0.0
peak_parallel_penalty_minus20,C099,1,0.010882151043221766,0.010882151043221766,True,True,0.0
peak_parallel_penalty_minus20,C099,2,0.040408198039692866,0.040408198039692866,True,True,0.0
peak_parallel_penalty_minus20,C099,3,0.014895878494074921,0.014895878494074921,True,True,0.0
peak_parallel_penalty_minus20,C099,4,0.008842066829657824,0.008842066829657824,True,True,0.0
peak_parallel_penalty_minus20,C100,1,0.01805016994460562,0.01805016994460562,True,True,0.0
peak_parallel_penalty_minus20,C100,2,0.911638686089068,0.9116546783290679,True,True,0.0
peak_parallel_penalty_minus20,C100,3,0.02399068246543945,0.02400667470543949,True,True,0.0
peak_parallel_penalty_minus20,C100,4,0.0016201734906375886,0.0016361657306380728,True,True,0.0
peak_parallel_penalty_minus20,C101,1,0.012835688843298998,0.01283568884329922,True,True,0.0
peak_parallel_penalty_minus20,C101,2,0.011571365309410941,0.011571365309410941,True,True,0.0
peak_parallel_penalty_minus20,C102,1,0.009897863118140449,0.009765485918140526,True,True,0.0
peak_parallel_penalty_minus20,C102,2,0.007781107517654373,0.007781107517654373,True,True,0.0
peak_parallel_penalty_minus20,C102,3,0.014126582883389638,0.014056543923389508,True,True,0.0
peak_parallel_penalty_minus20,C102,4,0.023264307936495365,0.023437053456495383,True,True,0.0
peak_parallel_penalty_minus20,C103,1,0.010013904759101688,0.010013904759101688,True,True,0.0
peak_parallel_penalty_minus20,C103,2,0.00841923057159688,0.00841923057159688,True,True,0.0
peak_parallel_penalty_minus20,C104,1,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C104,2,0.020170491181850547,0.020170491181850547,True,True,0.0
peak_parallel_penalty_minus20,C105,1,0.007154141860540086,0.007154141860540086,True,True,0.0
peak_parallel_penalty_minus20,C105,2,0.00924312164738783,0.00924312164738783,True,True,0.0
peak_parallel_penalty_minus20,C105,3,0.01072329218828294,0.01072329218828294,True,True,0.0
peak_parallel_penalty_minus20,C105,4,0.018663363382825482,0.019517816582825587,True,True,0.0
peak_parallel_penalty_minus20,C106,1,0.013720857122671015,0.013720857122670793,True,True,0.0
peak_parallel_penalty_minus20,C106,2,0.03356294966804407,0.03356294966804407,True,True,0.0
