case_id,target,method,attained,score,quality,B,U,total,peak
C042,3,LG+Count,True,1.7586229810072407,1.3986229810072408,3,2,0.0,0.0
C042,3,LG+CS,True,2.7000219738660585,2.1600219738660584,3,3,0.0,0.0
C042,3,JBC,True,2.726442100692526,2.186442100692526,3,3,0.0,0.0
C042,4,LocalGreedy,True,2.6363321639605664,2.0963321639605663,4,3,0.0,0.0
C042,4,LG+Count,True,2.6363321639605664,2.0963321639605663,4,3,0.0,0.0
C042,4,LG+CS,True,2.7064952399251445,2.1664952399251445,4,3,0.0,0.0
C042,4,JBC,True,2.725136384336352,2.185136384336352,4,3,0.0,0.0
C042,5,LocalGreedy,True,2.143670988499124,2.094181535599124,5,3,0.467152902,0.467152902
C042,5,LG+Count,True,2.143670988499124,2.094181535599124,5,3,0.467152902,0.467152902
C042,5,LG+CS,True,2.5632377480248243,2.1494718822748244,5,3,0.120222985,0.120222985
C042,5,JBC,True,2.715167720228794,2.175167720228794,5,3,0.0,0.0
C042,6,LocalGreedy,False,2.143670988499124,2.094181535599124,5,3,0.467152902,0.467152902
C042,6,LG+Count,True,2.0348210287453736,2.1004780702953734,6,3,0.644301355,0.467152902
C042,6,LG+CS,True,2.5575133812090183,2.1437475154590184,6,3,0.120222985,0.120222985
C042,6,JBC,True,2.697539864583018,2.157539864583018,6,3,0.0,0.0
C043,1,LocalGreedy,True,0.8353005214479821,0.6825023726979821,1,1,0.025906525,0.025906525
C043,1,LG+Count,True,0.8353005214479821,0.6825023726979821,1,1,0.025906525,0.025906525
C043,1,LG+CS,True,0.904422562876851,0.724422562876851,1,1,0.0,0.0
C043,1,JBC,True,0.9132866002817432,0.7332866002817433,1,1,0.0,0.0
C043,2,LocalGreedy,False,0.8353005214479821,0.6825023726979821,1,1,0.025906525,0.025906525
C043,2,LG+Count,True,0.8800049947498314,0.7000049947498315,2,1,0.0,0.0
C043,2,LG+CS,True,0.8800049947498314,0.7000049947498315,2,1,0.0,0.0
C043,2,JBC,True,0.9059873337950017,0.7259873337950018,2,1,0.0,0.0
C044,1,LocalGreedy,True,0.8764501521696111,0.696450152169611,1,1,0.0,0.0
C044,1,LG+Count,True,0.8764501521696111,0.696450152169611,1,1,0.0,0.0
C044,1,LG+CS,True,0.8954733912460087,0.7154733912460087,1,1,0.0,0.0
C044,1,JBC,True,0.9065949472933923,0.7265949472933922,1,1,0.0,0.0
C044,2,LocalGreedy,True,0.876639498297368,0.696639498297368,2,1,0.0,0.0
C044,2,LG+Count,True,0.876639498297368,0.696639498297368,2,1,0.0,0.0
C044,2,LG+CS,True,0.9070880246925832,0.7270880246925833,2,1,0.0,0.0
C044,2,JBC,True,1.811758067707268,1.4517580677072681,2,2,0.0,0.0
C044,3,LocalGreedy,True,1.7507935951531133,1.3907935951531132,3,2,0.0,0.0
C044,3,LG+Count,True,1.7507935951531133,1.3907935951531132,3,2,0.0,0.0
C044,3,LG+CS,True,1.8136829719859753,1.4536829719859754,3,2,0.0,0.0
C044,3,JBC,True,1.8136829719859753,1.4536829719859754,3,2,0.0,0.0
C044,4,LocalGreedy,True,1.7541908017709913,1.3941908017709912,4,2,0.0,0.0
C044,4,LG+Count,True,1.7541908017709913,1.3941908017709912,4,2,0.0,0.0
C044,4,LG+CS,True,1.812772962344066,1.4527729623440662,4,2,0.0,0.0
C044,4,JBC,True,1.812772962344066,1.4527729623440662,4,2,0.0,0.0
C045,1,LocalGreedy,True,0.9146547608723088,0.7346547608723087,1,1,0.0,0.0
