case_id,prototype_id,backbone_variant,replicate,density_level,l1_count,ordinary_length,D,target,source_dir,residual
A134,proto_sw_1_3,swept,5,medium,6,1.419350809739365,0.620721247,0.455760423,../../structural_assets/assets/A134,0.16496082399999995
A135,proto_sw_1_3,swept,5,rich,6,1.5374702379735488,0.732619623,0.730557158,../../structural_assets/assets/A135,0.002062465000000069
A136,proto_sw_1_3,expanded,6,simple,4,0.9849241313645746,0.243761321,0.246792895,../../structural_assets/assets/A136,-0.003031574000000009
A137,proto_sw_1_3,expanded,6,medium,5,1.494805877330159,0.489565594,0.498570761,../../structural_assets/assets/A137,-0.00900516699999998
A138,proto_sw_1_3,expanded,6,rich,6,1.545842604806082,0.728802223,0.737437526,../../structural_assets/assets/A138,-0.008635303000000039
A139,proto_sw_1_3,compact,6,simple,4,0.9468754672426813,0.196157838,0.239493113,../../structural_assets/assets/A139,-0.043335275000000006
A140,proto_sw_1_3,compact,6,medium,6,1.5169615003873493,0.673657397,0.527235781,../../structural_assets/assets/A140,0.14642161600000003
A141,proto_sw_1_3,compact,6,rich,6,1.533083226496574,0.72388297,0.724112329,../../structural_assets/assets/A141,-0.00022935899999998455
A142,proto_sw_1_3,swept,6,simple,4,1.1424016785353053,0.250848102,0.236170221,../../structural_assets/assets/A142,0.014677881000000004
A143,proto_sw_1_3,swept,6,medium,6,1.530582322057442,0.651647997,0.522560707,../../structural_assets/assets/A143,0.12908728999999997
A144,proto_sw_1_3,swept,6,rich,6,1.5048477308919983,0.71109509,0.729236424,../../structural_assets/assets/A144,-0.018141333999999953
A145,proto_sw_1_3,expanded,7,simple,4,0.829654089354199,0.168193979,0.253286418,../../structural_assets/assets/A145,-0.08509243900000002
A146,proto_sw_1_3,expanded,7,medium,5,1.052391266825266,0.439269652,0.458827676,../../structural_assets/assets/A146,-0.019558024000000007
A147,proto_sw_1_3,expanded,7,rich,6,1.2965165413841726,0.726821367,0.700515528,../../structural_assets/assets/A147,0.026305838999999942
A148,proto_sw_1_3,compact,7,simple,4,1.0565442298075236,0.218825535,0.246820498,../../structural_assets/assets/A148,-0.02799496300000001
A149,proto_sw_1_3,compact,7,medium,6,1.3083324470031152,0.673899464,0.525330337,../../structural_assets/assets/A149,0.14856912700000002
A150,proto_sw_1_3,compact,7,rich,6,1.3157478987692832,0.723516686,0.721930028,../../structural_assets/assets/A150,0.0015866580000000186
A151,proto_sw_1_3,swept,7,simple,4,0.9517912655922827,0.23961208,0.281559239,../../structural_assets/assets/A151,-0.04194715900000001
A152,proto_sw_1_3,swept,7,medium,5,1.076156952367004,0.445701429,0.491477192,../../structural_assets/assets/A152,-0.045775763000000025
A153,proto_sw_1_3,swept,7,rich,6,1.2080594620426666,0.64978991,0.72384635,../../structural_assets/assets/A153,-0.07405644
A154,proto_sw_1_3,expanded,8,simple,4,1.041533980090355,0.254083729,0.249879719,../../structural_assets/assets/A154,0.00420400999999998
A155,proto_sw_1_3,expanded,8,medium,5,1.0431640647719527,0.485976355,0.488741567,../../structural_assets/assets/A155,-0.0027652119999999614
A156,proto_sw_1_3,expanded,8,rich,6,1.2865508941853825,0.747599241,0.738517514,../../structural_assets/assets/A156,0.009081726999999984
A157,proto_sw_1_3,compact,8,simple,4,0.9711245648245364,0.214991595,0.2471196,../../structural_assets/assets/A157,-0.03212800499999999
A158,proto_sw_1_3,compact,8,medium,6,1.3092678150585784,0.651073269,0.541654363,../../structural_assets/assets/A158,0.10941890599999993
A159,proto_sw_1_3,compact,8,rich,6,1.2793192449903878,0.72258468,0.738491025,../../structural_assets/assets/A159,-0.01590634499999999
A160,proto_sw_1_3,swept,8,simple,4,1.0058783466267658,0.217203394,0.246280128,../../structural_assets/assets/A160,-0.029076733999999993
A161,proto_sw_1_3,swept,8,medium,6,1.1801828528988045,0.573930157,0.526614587,../../structural_assets/assets/A161,0.047315570000000085
A162,proto_sw_1_3,swept,8,rich,6,1.2971981746896364,0.712678013,0.730596248,../../structural_assets/assets/A162,-0.017918235000000005
A163,proto_sw_1_3,expanded,9,simple,4,1.077736804511676,0.300708047,0.289043359,../../structural_assets/assets/A163,0.011664687999999979
A164,proto_sw_1_3,expanded,9,medium,6,1.2065554907568248,0.555997249,0.509190237,../../structural_assets/assets/A164,0.04680701200000004
A165,proto_sw_1_3,expanded,9,rich,6,1.3025440557914953,0.70582598,0.722108541,../../structural_assets/assets/A165,-0.01628256100000003
A166,proto_sw_1_3,compact,9,simple,4,1.0633729186356538,0.253578164,0.256458347,../../structural_assets/assets/A166,-0.0028801829999999806
A167,proto_sw_1_3,compact,9,medium,6,1.4247555427378915,0.682255626,0.511754119,../../structural_assets/assets/A167,0.170501507
A168,proto_sw_1_3,compact,9,rich,6,1.4213047391156035,0.705165638,0.73724112,../../structural_assets/assets/A168,-0.03207548199999999
A169,proto_sw_1_3,swept,9,simple,4,1.0633729176524185,0.247849093,0.257749916,../../structural_assets/assets/A169,-0.00990082300000003
A170,proto_sw_1_3,swept,9,medium,5,1.0694734144520068,0.431963051,0.472771399,../../structural_assets/assets/A170,-0.040808347999999994
A171,proto_sw_1_3,swept,9,rich,6,1.3103381119631445,0.737449016,0.724321568,../../structural_assets/assets/A171,0.013127447999999986
